PROBEID	SYMBOL	logFC	P.Value	adj.P.Val
1552953_a_at	NEUROD2	-1.309876185	4.93E-28	6.00E-26
204722_at	SCN3B	-3.417166565	5.38E-28	6.53E-26
229867_at	BTBD9	-1.199772994	5.43E-28	6.57E-26
239357_at	ATP2B2	-2.397762855	5.68E-28	6.86E-26
226382_at	CAMK1D	-2.29676385	5.73E-28	6.91E-26
228716_at	THRB	-2.066365941	5.86E-28	7.04E-26
216268_s_at	JAG1	2.554012444	5.88E-28	7.06E-26
202443_x_at	NOTCH2	1.089684286	5.90E-28	7.07E-26
237790_at	SCN8A	-1.580393537	5.92E-28	7.07E-26
240512_x_at	KCTD4	-2.54898186	6.13E-28	7.31E-26
200782_at	ANXA5	1.80781821	6.18E-28	7.34E-26
225111_s_at	NAPB	-3.122826398	6.63E-28	7.87E-26
208457_at	GABRD	-1.824406059	6.71E-28	7.93E-26
214874_at	PKP4	-2.986867476	6.72E-28	7.93E-26
213834_at	IQSEC3	-1.50113959	7.02E-28	8.26E-26
231980_at	DOK6	-3.646941156	7.02E-28	8.26E-26
211719_x_at	FN1	2.546958781	7.32E-28	8.58E-26
233305_at	NECAB1	-3.10272125	7.86E-28	9.21E-26
213439_x_at	RUNDC3A	-1.549320013	8.20E-28	9.58E-26
201999_s_at	DYNLT1	1.883795543	8.24E-28	9.60E-26
213045_at	MAST3	-2.303976128	8.41E-28	9.78E-26
1555801_s_at	ZNF385B	-2.4783075	8.61E-28	9.99E-26
209099_x_at	JAG1	2.298444957	9.07E-28	1.05E-25
241703_at	RUNDC3B	-2.429681754	9.17E-28	1.06E-25
228436_at	KCNC4	-1.028129067	9.29E-28	1.07E-25
201584_s_at	DDX39A	1.853440374	9.33E-28	1.07E-25
223901_at	SYT3	-1.371719573	9.39E-28	1.08E-25
206460_at	AJAP1	-1.258501419	9.99E-28	1.14E-25
1552519_at	ACVR1C	-2.016711014	1.00E-27	1.15E-25
213276_at	CAMK2B	-1.444250352	1.06E-27	1.21E-25
239579_at	EPHX4	-2.298898992	1.06E-27	1.21E-25
223340_at	ATL1	-2.347811386	1.10E-27	1.25E-25
207110_at	KCNJ12	-0.863885784	1.11E-27	1.25E-25
227217_at	WNK2	-1.41706568	1.12E-27	1.26E-25
216039_at	GABRA2	-3.023290906	1.17E-27	1.32E-25
214848_at	YWHAZ	-1.142212265	1.17E-27	1.32E-25
204592_at	DLG4	-1.581718809	1.20E-27	1.34E-25
206196_s_at	RUNDC3A	-3.280911232	1.20E-27	1.34E-25
203389_at	KIF3C	-1.98049647	1.23E-27	1.37E-25
201761_at	MTHFD2	2.697478641	1.24E-27	1.38E-25
241758_at	NUP93	-1.463540647	1.24E-27	1.38E-25
1554333_at	DNAJA4	-2.332172867	1.31E-27	1.46E-25
204869_at	PCSK2	-3.081823228	1.33E-27	1.47E-25
1558680_s_at	PDE1A	-2.295626973	1.33E-27	1.47E-25
208270_s_at	RNPEP	1.012991578	1.34E-27	1.48E-25
208102_s_at	PSD	-1.447578868	1.36E-27	1.49E-25
204723_at	SCN3B	-3.906942306	1.37E-27	1.50E-25
219532_at	ELOVL4	-2.166572157	1.39E-27	1.53E-25
212928_at	TSPYL4	-1.768387183	1.40E-27	1.53E-25
218728_s_at	CNIH4	2.048846077	1.60E-27	1.74E-25
236045_x_at	DOC2B	-1.733586918	1.60E-27	1.74E-25
1560713_a_at	ELFN2	-1.465180395	1.64E-27	1.78E-25
211981_at	COL4A1	3.400068755	1.64E-27	1.78E-25
1556366_s_at	LY86-AS1	-2.24626945	1.69E-27	1.83E-25
213066_at	RUSC2	-1.047769726	1.69E-27	1.83E-25
225134_at	SPRYD3	-1.131493011	1.71E-27	1.85E-25
1559072_a_at	ELFN2	-2.215144815	1.80E-27	1.94E-25
236734_at	SLITRK1	-2.453671748	1.86E-27	1.99E-25
239026_x_at	AGAP3	-1.111727391	1.88E-27	2.01E-25
204467_s_at	SNCA	-3.020393336	1.91E-27	2.03E-25
205294_at	BAIAP2	-1.509795832	1.91E-27	2.03E-25
232549_at	RBM11	-1.529849217	1.97E-27	2.09E-25
223913_s_at	MIR7-3HG	-2.326512994	1.98E-27	2.10E-25
200989_at	HIF1A	1.168634493	1.99E-27	2.11E-25
205173_x_at	CD58	2.220461675	1.99E-27	2.11E-25
200058_s_at	SNRNP200	1.060112564	2.13E-27	2.24E-25
208856_x_at	RPLP0	1.172494795	2.19E-27	2.30E-25
211972_x_at	RPLP0	1.208850693	2.43E-27	2.55E-25
207026_s_at	ATP2B3	-1.615198201	2.52E-27	2.64E-25
214253_s_at	DTNB	-0.756008314	2.59E-27	2.70E-25
228174_at	SCAI	-2.243802305	2.66E-27	2.77E-25
221861_at	ARRB1	-1.600864694	2.67E-27	2.77E-25
38269_at	PRKD2	1.250786956	2.69E-27	2.79E-25
212252_at	CAMKK2	-1.448393126	2.80E-27	2.91E-25
228182_at	ADCY5	-1.28182737	2.86E-27	2.95E-25
228146_at	LINC02693	-0.766635542	2.86E-27	2.95E-25
240841_at	INSM2	-0.899411585	2.86E-27	2.95E-25
239390_at	QTMAN	-1.508894196	2.99E-27	3.08E-25
204889_s_at	NEURL1	-1.281345458	3.04E-27	3.12E-25
227425_at	REPS2	-3.375441667	3.08E-27	3.14E-25
229019_at	ZNF385B	-1.540654147	3.08E-27	3.14E-25
1559256_at	MAGI1	-1.473358127	3.08E-27	3.14E-25
200600_at	MSN	1.975017108	3.09E-27	3.15E-25
228132_at	ABLIM2	-1.619589883	3.26E-27	3.32E-25
204230_s_at	SLC17A7	-3.754897876	3.28E-27	3.33E-25
1556365_at	LY86-AS1	-1.041783908	3.34E-27	3.37E-25
1566040_at	LOC100288656	-2.206557536	3.34E-27	3.37E-25
223859_at	EPB41L4B	-1.944686429	3.39E-27	3.41E-25
231213_at	PDE1A	-4.262446564	3.39E-27	3.41E-25
207643_s_at	TNFRSF1A	1.689573215	3.50E-27	3.51E-25
205737_at	KCNQ2	-3.349384308	3.51E-27	3.52E-25
216442_x_at	FN1	2.513946687	3.60E-27	3.60E-25
236081_at	SNCA	-3.966281293	3.93E-27	3.92E-25
202048_s_at	CBX6	-0.887571813	3.94E-27	3.93E-25
207593_at	ABCG4	-0.808720255	3.96E-27	3.94E-25
201368_at	ZFP36L2	1.817710385	3.97E-27	3.94E-25
242524_at	CBLN4	-3.300630083	4.02E-27	3.98E-25
203989_x_at	F2R	3.367505491	4.12E-27	4.07E-25
1566219_at	KRTAP5-AS1	-1.06037858	4.24E-27	4.19E-25
223220_s_at	PARP9	1.926494371	4.38E-27	4.32E-25
244493_at	GPR22	-1.904159198	4.54E-27	4.46E-25
236331_at	CDKL2	-1.979658713	4.55E-27	4.46E-25
225815_at	CPLX2	-3.00820101	4.56E-27	4.46E-25
229406_at	RBFOX3	-2.892839998	4.57E-27	4.46E-25
216347_s_at	PPP1R13B	-1.280861775	4.58E-27	4.46E-25
242193_at	MIR124-2HG	-2.862183894	4.58E-27	4.46E-25
205531_s_at	GLS2	-1.618134365	4.59E-27	4.46E-25
1557203_at	PABPC1L2B	-1.006990151	4.61E-27	4.48E-25
225059_at	AGTRAP	1.184544293	4.61E-27	4.48E-25
203906_at	IQSEC1	-1.682818306	4.64E-27	4.49E-25
203618_at	FAIM2	-1.890707553	4.76E-27	4.59E-25
214607_at	PAK3	-2.115019619	4.91E-27	4.72E-25
214823_at	ZNF204P	-2.273423936	4.97E-27	4.77E-25
207808_s_at	PROS1	2.755821853	5.07E-27	4.87E-25
231489_x_at	CREG2	-4.171970115	5.31E-27	5.08E-25
238782_at	WDR13	-1.72975648	5.32E-27	5.09E-25
212551_at	CAP2	-2.277594649	5.37E-27	5.12E-25
217280_x_at	GABRA5	-1.520653347	5.77E-27	5.49E-25
208628_s_at	YBX1	1.435327862	5.92E-27	5.63E-25
204229_at	SLC17A7	-3.549889935	6.04E-27	5.73E-25
229039_at	SYN2	-4.164121114	6.25E-27	5.91E-25
206290_s_at	RGS7	-3.728126227	6.25E-27	5.91E-25
1560116_a_at	NEDD1	1.484291524	6.38E-27	6.02E-25
201033_x_at	RPLP0	1.177904543	6.45E-27	6.07E-25
235128_at	SYNPO	-1.492686483	6.45E-27	6.07E-25
210495_x_at	FN1	2.427763768	6.61E-27	6.20E-25
208932_at	PPP4C	1.162471541	6.70E-27	6.28E-25
200654_at	P4HB	1.426444081	6.73E-27	6.30E-25
229460_at	HYCC2	-2.003388191	6.83E-27	6.38E-25
221086_s_at	FEZF2	-1.910936421	6.84E-27	6.38E-25
213242_x_at	CEP170B	-1.271014545	6.89E-27	6.40E-25
1558295_a_at	PPFIA2	-2.602789109	6.89E-27	6.40E-25
242845_at	RUNX1T1	-1.073112027	6.96E-27	6.45E-25
228987_at	CYRIB	-1.745490512	7.23E-27	6.69E-25
211720_x_at	RPLP0	1.121511443	7.55E-27	6.98E-25
212680_x_at	PPP1R14B	1.506305404	7.64E-27	7.05E-25
205626_s_at	CALB1	-2.895990248	7.70E-27	7.09E-25
219760_at	LIN7B	-1.216546504	7.76E-27	7.13E-25
224811_at	LPP	1.326336329	7.87E-27	7.23E-25
228747_at	SEC61A2	-1.507338202	7.95E-27	7.28E-25
211125_x_at	GRIN1	-1.82926024	8.07E-27	7.38E-25
208123_at	KCNB2	-0.912549203	8.13E-27	7.43E-25
223529_at	SYT4	-3.542716497	8.16E-27	7.44E-25
230303_at	SYNPR	-4.015820707	8.29E-27	7.54E-25
205827_at	CCK	-4.250488626	8.72E-27	7.92E-25
225061_at	DNAJA4	-2.086779649	8.74E-27	7.93E-25
206014_at	ACTL6B	-1.570711395	8.83E-27	7.99E-25
1568612_at	GABRG2	-4.829985655	8.97E-27	8.11E-25
43511_s_at	ARRB1	-1.855125972	9.09E-27	8.20E-25
229961_x_at	YJEFN3	-1.610332811	9.24E-27	8.32E-25
230692_at	XKR4	-2.244475542	9.25E-27	8.32E-25
206191_at	ENTPD3	-1.438651556	9.27E-27	8.33E-25
224906_at	ANO6	1.959575239	9.44E-27	8.46E-25
225032_at	FNDC3B	1.66767929	9.68E-27	8.66E-25
228096_at	MICOS10	-1.030848746	1.01E-26	9.03E-25
227053_at	PACSIN1	-3.582189401	1.02E-26	9.07E-25
204505_s_at	DMTN	-1.96312736	1.03E-26	9.12E-25
223993_s_at	CNIH4	1.731244509	1.03E-26	9.12E-25
229657_at	THRB	-2.472608124	1.07E-26	9.45E-25
202270_at	GBP1	3.255154654	1.10E-26	9.71E-25
1555902_at	ARMCX5	-1.110125433	1.10E-26	9.72E-25
236638_at	AMER3	-0.868937735	1.13E-26	9.95E-25
230497_at	CELF5	-3.293188872	1.13E-26	9.95E-25
1560018_at	ARPP21	-1.458926161	1.19E-26	1.04E-24
236038_at	RNF150	-1.856521407	1.21E-26	1.06E-24
231151_at	DLGAP3	-1.283446443	1.21E-26	1.06E-24
227830_at	GABRB3	-3.249413968	1.25E-26	1.09E-24
209300_s_at	NECAP1	-1.563011723	1.31E-26	1.14E-24
1552897_a_at	KCNG3	-1.207330965	1.31E-26	1.14E-24
212555_at	PRKAR1B	-1.264281724	1.37E-26	1.19E-24
212464_s_at	FN1	2.56265645	1.41E-26	1.22E-24
204757_s_at	C2CD2L	-0.941677567	1.43E-26	1.24E-24
211451_s_at	KCNJ4	-1.747064998	1.50E-26	1.30E-24
1553037_a_at	SYN2	-1.877894614	1.53E-26	1.32E-24
209726_at	CA11	-2.73609893	1.61E-26	1.38E-24
212877_at	KLC1	-2.479707464	1.63E-26	1.40E-24
1556095_at	UNC13C	-2.908331737	1.65E-26	1.41E-24
239738_at	DACH2	-2.08870915	1.67E-26	1.43E-24
218935_at	EHD3	-2.28166643	1.69E-26	1.44E-24
230962_at	DCLK1	-2.585846729	1.69E-26	1.44E-24
238694_at	DGKE	-2.206207561	1.72E-26	1.46E-24
203855_at	WDR47	-1.600237589	1.86E-26	1.58E-24
213234_at	FAM234B	-1.239724207	1.99E-26	1.69E-24
218751_s_at	FBXW7	-1.897892029	2.00E-26	1.69E-24
1552714_at	CREG2	-2.853497638	2.06E-26	1.74E-24
200916_at	TAGLN2	1.943238367	2.07E-26	1.74E-24
205277_at	PRDM2	-1.661397034	2.07E-26	1.75E-24
215518_at	STXBP5L	-1.144021458	2.09E-26	1.76E-24
229294_at	JPH3	-3.732128447	2.20E-26	1.84E-24
222963_s_at	IL1RAPL1	-1.429072861	2.21E-26	1.85E-24
203812_at	SLIT3	-0.842226693	2.22E-26	1.86E-24
205915_x_at	GRIN1	-1.75882343	2.30E-26	1.92E-24
1557180_at	C11orf87	-2.025180758	2.32E-26	1.94E-24
222920_s_at	TESPA1	-2.125509248	2.58E-26	2.14E-24
229156_s_at	PRKAG2-AS1	-1.605566445	2.58E-26	2.14E-24
208659_at	CLIC1	2.367414742	2.58E-26	2.14E-24
233185_at	FGF14	-1.029814517	2.71E-26	2.25E-24
230846_at	AKAP5	-2.324581659	2.75E-26	2.27E-24
201923_at	PRDX4	2.233069243	2.76E-26	2.28E-24
201426_s_at	VIM	2.064471328	2.76E-26	2.28E-24
244113_at	KCNJ9	-2.551187162	2.77E-26	2.28E-24
220731_s_at	NECAP2	1.373622901	2.79E-26	2.30E-24
1568625_at	SVOP	-1.139195057	2.82E-26	2.32E-24
215321_at	RUNDC3B	-2.493958488	2.87E-26	2.35E-24
209200_at	MEF2C	-2.283953803	2.87E-26	2.35E-24
221810_at	RAB15	-1.484362553	2.99E-26	2.44E-24
220331_at	CYP46A1	-2.697313007	3.02E-26	2.46E-24
235504_at	GREM2	-0.690732216	3.03E-26	2.47E-24
201369_s_at	ZFP36L2	2.270250623	3.05E-26	2.49E-24
208396_s_at	PDE1A	-2.426610551	3.16E-26	2.57E-24
210550_s_at	RASGRF1	-1.832024662	3.17E-26	2.57E-24
224530_s_at	KCNIP4	-1.660069888	3.32E-26	2.69E-24
239548_at	NEGR1	-1.463613887	3.35E-26	2.71E-24
202693_s_at	STK17A	2.289752802	3.80E-26	3.06E-24
201590_x_at	ANXA2	2.784990316	3.86E-26	3.11E-24
1557279_at	ITSN1	-0.767357383	3.95E-26	3.18E-24
1559970_at	FLRT2-AS1	-0.897574522	4.02E-26	3.23E-24
212948_at	CAMTA2	-1.20756916	4.05E-26	3.25E-24
218389_s_at	APH1A	1.149822438	4.07E-26	3.26E-24
227812_at	TNFRSF19	3.146008167	4.16E-26	3.33E-24
236308_at	VSTM2A	-3.944730283	4.22E-26	3.37E-24
244709_at	AMER3	-1.002065982	4.24E-26	3.37E-24
201004_at	SSR4	1.147144301	4.27E-26	3.39E-24
229461_x_at	NEGR1	-3.939182608	4.35E-26	3.46E-24
235225_at	SCN2B	-2.935176695	4.48E-26	3.55E-24
229823_at	RIMS2	-3.447363293	4.66E-26	3.69E-24
203266_s_at	MAP2K4	-1.665973066	4.79E-26	3.78E-24
1554334_a_at	DNAJA4	-1.878117566	4.81E-26	3.80E-24
1556096_s_at	UNC13C	-3.087275732	5.01E-26	3.95E-24
200797_s_at	MCL1	1.354252854	5.16E-26	4.06E-24
1556583_a_at	SLC8A1	-3.168095878	5.16E-26	4.06E-24
204762_s_at	GNAO1	-2.815801177	5.23E-26	4.11E-24
1552879_a_at	ATOH7	-0.73058704	5.24E-26	4.11E-24
212880_at	WDR7	-1.603726587	5.45E-26	4.26E-24
214432_at	ATP1A3	-3.15581361	5.59E-26	4.37E-24
238136_at	SHISA7	-1.068417583	5.66E-26	4.42E-24
204755_x_at	HLF	-2.775207457	5.78E-26	4.51E-24
1557098_s_at	HAR1A	-1.14581978	5.79E-26	4.51E-24
205191_at	RP2	2.197704538	5.84E-26	4.53E-24
206489_s_at	DLGAP1	-1.853486899	5.86E-26	4.55E-24
212695_at	CRY2	-1.011375106	5.87E-26	4.55E-24
210427_x_at	ANXA2	2.825359944	5.90E-26	4.57E-24
204489_s_at	CD44	3.252196404	6.11E-26	4.72E-24
209442_x_at	ANK3	-1.88629136	6.42E-26	4.96E-24
223604_at	GARNL3	-1.410039479	6.51E-26	5.01E-24
232276_at	HS6ST3	-1.483498787	6.52E-26	5.01E-24
1552943_at	GABRG1	-1.824531274	6.55E-26	5.03E-24
238454_at	ZNF540	-1.895738303	6.61E-26	5.07E-24
202666_s_at	ACTL6A	2.277061796	6.93E-26	5.31E-24
213503_x_at	ANXA2	2.785987258	7.04E-26	5.38E-24
214762_at	ATP6V1G2	-2.941999148	7.20E-26	5.50E-24
206089_at	NELL1	-2.200210392	7.25E-26	5.53E-24
235066_at	MAP4	-4.580406158	7.33E-26	5.58E-24
231355_at	CACNG8	-1.072707331	7.40E-26	5.63E-24
204754_at	HLF	-2.538767773	7.43E-26	5.64E-24
215244_at	DGCR5	-0.963519893	7.61E-26	5.77E-24
201598_s_at	INPPL1	1.180218186	7.69E-26	5.82E-24
223654_s_at	CELF4	-2.909773231	7.89E-26	5.96E-24
213676_at	TMEM151B	-2.449649606	8.41E-26	6.35E-24
236448_at	UNC5A	-3.045244561	8.50E-26	6.41E-24
205914_s_at	GRIN1	-1.690481555	8.52E-26	6.41E-24
236089_at	HECW2	-2.1496865	8.57E-26	6.44E-24
205899_at	CCNA1	-1.343242886	8.68E-26	6.52E-24
202457_s_at	PPP3CA	-1.862833206	8.85E-26	6.64E-24
201290_at	SEC11A	1.374963608	9.13E-26	6.83E-24
202279_at	ATP5MJ	-1.603127651	9.30E-26	6.95E-24
219562_at	RAB26	-1.998657343	9.45E-26	7.05E-24
202507_s_at	SNAP25	-3.488426794	9.95E-26	7.42E-24
232697_at	LRFN2	-0.681889939	9.97E-26	7.42E-24
1557430_at	SMIM17	-2.486507998	1.04E-25	7.76E-24
237515_at	TLCD4	-2.307048721	1.05E-25	7.82E-24
1563182_at	ACVR1C	-2.009727332	1.07E-25	7.92E-24
229411_at	PNCK	-1.169733929	1.07E-25	7.92E-24
221631_at	CACNA1I	-1.18652501	1.08E-25	7.96E-24
241802_x_at	GRM2	-0.797140086	1.09E-25	8.02E-24
243804_at	MTMR7	-1.223443656	1.09E-25	8.02E-24
203504_s_at	ABCA1	2.262807013	1.11E-25	8.17E-24
222482_at	SSBP3	-1.711924218	1.12E-25	8.22E-24
236738_at	C3orf80	-2.124950672	1.13E-25	8.27E-24
202260_s_at	STXBP1	-2.750704461	1.16E-25	8.49E-24
201335_s_at	ARHGEF12	-1.264171103	1.16E-25	8.52E-24
235740_at	MCTP1	-2.829192482	1.19E-25	8.67E-24
212425_at	SCAMP1	-1.702554499	1.19E-25	8.70E-24
203344_s_at	RBBP8	1.857607911	1.23E-25	8.95E-24
241957_x_at	LIN7B	-1.186748307	1.23E-25	8.95E-24
244623_at	KCNQ5	-3.067405715	1.23E-25	8.95E-24
226353_at	SPPL2A	1.703703232	1.23E-25	8.95E-24
229245_at	PLEKHA6	-1.972122955	1.27E-25	9.18E-24
202282_at	HSD17B10	1.203093121	1.30E-25	9.38E-24
212077_at	CALD1	1.897827368	1.30E-25	9.38E-24
207556_s_at	DGKZ	-1.750406127	1.41E-25	1.02E-23
204490_s_at	CD44	2.668389681	1.42E-25	1.02E-23
223460_at	CAMKK1	-1.181814449	1.43E-25	1.03E-23
225890_at	MGME1	1.77044648	1.48E-25	1.07E-23
230112_at	MARCHF4	-1.493778156	1.49E-25	1.07E-23
205644_s_at	SNRPG	1.459274837	1.49E-25	1.07E-23
224649_x_at	CCNY	-1.713690489	1.50E-25	1.07E-23
209129_at	TRIP6	1.907791119	1.50E-25	1.07E-23
212554_at	CAP2	-2.544342846	1.52E-25	1.09E-23
233310_at	SSTR2	-1.467131695	1.53E-25	1.09E-23
209835_x_at	CD44	2.580548063	1.53E-25	1.09E-23
200872_at	S100A10	2.535444745	1.54E-25	1.10E-23
212791_at	C1orf216	-1.378403094	1.58E-25	1.12E-23
208627_s_at	YBX1	1.676171268	1.61E-25	1.14E-23
212377_s_at	NOTCH2	1.255066422	1.68E-25	1.19E-23
212703_at	TLN2	-0.941237689	1.72E-25	1.22E-23
209685_s_at	PRKCB	-3.24481531	1.73E-25	1.22E-23
212294_at	GNG12	1.530507087	1.77E-25	1.25E-23
236377_at	TMEM132D	-2.19080201	1.78E-25	1.25E-23
201557_at	VAMP2	-1.790975864	1.78E-25	1.25E-23
239671_at	SYT16	-3.073770244	1.83E-25	1.29E-23
219308_s_at	AK5	-3.724432538	1.95E-25	1.37E-23
214434_at	HSPA12A	-2.512288492	1.99E-25	1.39E-23
236024_at	GPM6A	-1.97445995	2.03E-25	1.42E-23
208808_s_at	HMGB2	2.083428007	2.11E-25	1.47E-23
213280_at	RAP1GAP2	-2.415841269	2.14E-25	1.49E-23
210181_s_at	CABP1	-2.571481531	2.15E-25	1.49E-23
204134_at	PDE2A	-3.003872104	2.15E-25	1.50E-23
224801_at	NDFIP2	-2.40046755	2.18E-25	1.51E-23
214819_at	IQSEC2	-0.915420218	2.26E-25	1.57E-23
205691_at	SYNGR3	-3.835113011	2.31E-25	1.60E-23
239359_at	MARCHF11	-1.028423509	2.36E-25	1.63E-23
218387_s_at	PGLS	1.33881344	2.36E-25	1.63E-23
48531_at	TNIP2	1.406076425	2.38E-25	1.64E-23
201161_s_at	YBX3	1.943135328	2.44E-25	1.68E-23
204730_at	RIMS3	-3.037367426	2.47E-25	1.70E-23
232289_at	KCNJ12	-0.791020979	2.47E-25	1.70E-23
215972_at	PART1	-1.489277324	2.49E-25	1.71E-23
221654_s_at	USP3	1.530727173	2.51E-25	1.72E-23
203798_s_at	VSNL1	-4.970545873	2.57E-25	1.76E-23
219301_s_at	CNTNAP2	-2.490636311	2.57E-25	1.76E-23
241922_at	LMO4	-1.351290155	2.60E-25	1.77E-23
222469_s_at	TOLLIP	-1.568499328	2.69E-25	1.83E-23
207162_s_at	CACNA1B	-0.809060001	2.79E-25	1.90E-23
1555958_at	CRTAC1	-1.647002099	2.82E-25	1.92E-23
226628_at	THOC2	1.685398129	2.86E-25	1.94E-23
229642_at	ARHGEF7	-1.97008974	2.87E-25	1.95E-23
231384_at	GRIN2A	-3.522183479	3.25E-25	2.20E-23
201746_at	TP53	2.252279235	3.26E-25	2.21E-23
205625_s_at	CALB1	-2.827960111	3.35E-25	2.26E-23
221874_at	ELAPOR1	-1.422435912	3.39E-25	2.29E-23
211622_s_at	ARF3	-1.222283081	3.39E-25	2.29E-23
200656_s_at	P4HB	1.681169177	3.43E-25	2.31E-23
204697_s_at	CHGA	-2.022650006	3.57E-25	2.40E-23
239425_at	DCUN1D5	-1.970468604	3.63E-25	2.44E-23
224752_at	STMP1	1.394519875	3.67E-25	2.46E-23
207081_s_at	PI4KA	-1.826383052	3.67E-25	2.46E-23
210518_at	CDH8	-0.992425181	3.71E-25	2.48E-23
238661_at	MIR124-2HG	-2.06769834	3.73E-25	2.49E-23
218725_at	SLC25A22	-1.248815845	3.75E-25	2.50E-23
218131_s_at	GATAD2A	1.328707795	4.26E-25	2.84E-23
213040_s_at	NPTXR	-2.664248432	4.27E-25	2.84E-23
233072_at	NTNG2	-1.351194147	4.32E-25	2.86E-23
225128_at	POGLUT3	1.840606171	4.32E-25	2.86E-23
226167_at	SYT7	-1.78115041	4.34E-25	2.88E-23
217452_s_at	B3GALT2	-2.372363292	4.40E-25	2.91E-23
220447_at	HRH3	-1.570136769	4.41E-25	2.92E-23
214930_at	SLITRK5	-2.495692998	4.51E-25	2.98E-23
1554593_s_at	SLC1A6	-2.437561793	4.60E-25	3.03E-23
236290_at	DOK6	-2.185535731	4.61E-25	3.03E-23
211966_at	COL4A2	2.984708388	4.67E-25	3.07E-23
238554_at	CYB5B	-1.599551566	4.74E-25	3.11E-23
213933_at	PTGER3	-1.452413518	4.90E-25	3.21E-23
200921_s_at	BTG1	1.707142211	4.91E-25	3.21E-23
235527_at	DLGAP1	-3.255309476	4.98E-25	3.25E-23
206448_at	ZNF365	-2.880655443	5.09E-25	3.32E-23
1559257_a_at	MAGI1	-1.062466803	5.55E-25	3.61E-23
224209_s_at	GDA	-4.129742565	5.57E-25	3.62E-23
1553865_a_at	GPR26	-1.135186443	5.57E-25	3.62E-23
203909_at	SLC9A6	-1.499463296	5.62E-25	3.64E-23
226314_at	CHST14	1.168888066	5.76E-25	3.73E-23
217764_s_at	RAB31	1.281893447	5.78E-25	3.74E-23
1552878_at	ATOH7	-0.766781084	5.93E-25	3.83E-23
202429_s_at	PPP3CA	-1.82189767	6.21E-25	4.01E-23
214156_at	MYRIP	-2.672142611	6.40E-25	4.12E-23
225840_at	TEF	-1.752641265	6.49E-25	4.17E-23
234294_x_at	GATAD2A	1.080592678	6.65E-25	4.28E-23
205850_s_at	GABRB3	-2.11295392	6.80E-25	4.36E-23
212433_x_at	RPS2	1.220539745	6.83E-25	4.38E-23
231771_at	GJB6	-3.981371407	7.01E-25	4.49E-23
234024_at	CBLN4	-1.902454349	7.05E-25	4.51E-23
225912_at	TP53INP1	1.784686171	7.39E-25	4.72E-23
208890_s_at	PLXNB2	1.231134113	7.68E-25	4.90E-23
209556_at	NCDN	-2.43232912	7.70E-25	4.91E-23
200923_at	LGALS3BP	1.95818397	7.97E-25	5.07E-23
226397_s_at	PHACTR1	-1.964210269	7.97E-25	5.07E-23
200968_s_at	PPIB	1.637744709	8.04E-25	5.11E-23
221792_at	RAB6B	-2.031160102	8.16E-25	5.17E-23
227216_at	CARMIL2	-0.974500131	8.17E-25	5.17E-23
203107_x_at	RPS2	1.10269036	8.52E-25	5.39E-23
225354_s_at	SH3BGRL2	-1.745181489	8.62E-25	5.45E-23
207030_s_at	CSRP2	2.882921248	8.70E-25	5.49E-23
212247_at	NUP205	1.369644123	8.79E-25	5.54E-23
223726_at	KCNH3	-1.430339488	8.80E-25	5.54E-23
209755_at	NMNAT2	-2.814561693	8.93E-25	5.61E-23
242973_at	CACNA1C	-1.521404638	8.98E-25	5.64E-23
206534_at	GRIN2A	-1.411177321	9.06E-25	5.69E-23
235647_at	AP4S1	-0.994884738	9.27E-25	5.81E-23
219557_s_at	NRIP3	-2.199607282	9.40E-25	5.88E-23
229201_at	PAK3	-3.622575253	9.55E-25	5.97E-23
204712_at	WIF1	-4.006105657	9.65E-25	6.03E-23
227761_at	MYO5A	-1.932373237	9.84E-25	6.13E-23
204499_at	AGTPBP1	-1.282835238	9.84E-25	6.13E-23
226040_at	TRIM56	1.991879989	9.85E-25	6.13E-23
209282_at	PRKD2	1.285830847	1.01E-24	6.31E-23
224871_at	TPRG1L	-1.715011591	1.02E-24	6.33E-23
205839_s_at	TSPOAP1	-1.47307504	1.04E-24	6.46E-23
205345_at	BARD1	1.814056958	1.05E-24	6.51E-23
200734_s_at	ARF3	-1.335544169	1.06E-24	6.55E-23
239726_at	ANK3	-1.966382205	1.07E-24	6.60E-23
211555_s_at	GUCY1B1	-2.421202786	1.07E-24	6.62E-23
204678_s_at	KCNK1	-2.97845304	1.08E-24	6.66E-23
205298_s_at	BTN2A2	0.982074154	1.09E-24	6.73E-23
230298_at	MBLAC2	-1.554102941	1.11E-24	6.83E-23
212063_at	CD44	3.145656967	1.11E-24	6.84E-23
201460_at	MAPKAPK2	0.914532638	1.15E-24	7.06E-23
210132_at	EFNA3	-1.120004252	1.18E-24	7.20E-23
211048_s_at	PDIA4	1.780468615	1.20E-24	7.32E-23
244676_s_at	MTUS2	-0.764520129	1.20E-24	7.32E-23
201341_at	ENC1	-2.176411232	1.22E-24	7.43E-23
222692_s_at	FNDC3B	1.744642318	1.23E-24	7.51E-23
201160_s_at	YBX3	2.129551797	1.24E-24	7.54E-23
212990_at	SYNJ1	-2.003056596	1.24E-24	7.58E-23
230932_at	RNF130	-2.563252881	1.25E-24	7.59E-23
204365_s_at	REEP1	-1.766538538	1.27E-24	7.73E-23
204893_s_at	ZFYVE9	-0.687221658	1.29E-24	7.82E-23
204412_s_at	NEFH	-1.994744461	1.32E-24	7.98E-23
